client_hash_id,content_hash_id,model_rank,decline_probability,reason_code,suggested_action,confidence_note,imp_prev30,clk_prev30,avg_position_prev30,days_with_impressions,content_age_days
client_23a62021009f63c4,content_44f34c0a90047651,1,0.9734324008016376,high_risk_high_exposure,Prioritize for manual performance review,High model score; still requires human review,212404.0,24.0,7.346909008684935,31,70
client_73cda7b4e4f265ea,content_8e1334d6356668e3,2,0.9320838197790505,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,134984.0,1.0,4.545581827774352,31,411
client_73cda7b4e4f265ea,content_fec55986a1868d62,3,0.9185004722430673,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,124075.0,1.0,9.385149675233963,31,411
client_23a62021009f63c4,content_bdf60c86117079be,4,0.8830425570634567,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,112429.0,12.0,30.769353394159715,31,231
client_23a62021009f63c4,content_559cdd76da9306de,5,0.8765897383232207,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,97378.0,2.0,36.71207399726488,31,217
client_62f4a7e64f5e0096,content_34a70fea29d15f24,6,0.8752305847851362,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,143019.0,43.0,3.2194729633317762,31,279
client_62f4a7e64f5e0096,content_f6116743b00afc2d,7,0.8729796396888214,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,107584.0,15.0,9.536301418353123,31,194
client_23a62021009f63c4,content_164c1f53f13bcee1,8,0.8701637632003193,high_risk_position,"Review search intent, relevance and ranking context",High model score; still requires human review,89982.0,2.0,24.08394692086424,31,84
client_73cda7b4e4f265ea,content_9c057b66c30a3abb,9,0.8560850041256144,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,83834.0,1.0,11.195378991679775,31,244
client_9958f0a7ae1df715,content_cd3d932d4e1c8db0,10,0.8520385514180032,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,89332.0,4.0,7.7862192933810785,31,448
client_a80fca3f171ed1de,content_9540d884af3e41fd,11,0.8365448793140385,high_risk_high_exposure,Prioritize for manual performance review,High model score; still requires human review,82376.0,11.0,7.794395049435956,31,37
client_20259bd6705d81d4,content_82e35c4845e6c391,12,0.8354355694517632,high_risk_position,"Review search intent, relevance and ranking context",High model score; still requires human review,143907.0,60.0,22.558608477586557,31,156
client_23a62021009f63c4,content_ab91e088440ace78,13,0.8252118167119641,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,77963.0,5.0,43.16632387710366,31,218
client_23a62021009f63c4,content_73aa61dcedebbf30,14,0.8219953613440919,high_risk_position,"Review search intent, relevance and ranking context",High model score; still requires human review,80124.0,9.0,45.700430729788984,31,142
client_73cda7b4e4f265ea,content_425715547c6a3ea8,15,0.8165008479279441,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,71513.0,3.0,6.395690558449798,31,372
client_a80fca3f171ed1de,content_f0703fc6ae385591,16,0.8148235786170525,high_risk_high_exposure,Prioritize for manual performance review,High model score; still requires human review,63201.0,2.0,10.060534973125225,31,37
client_23a62021009f63c4,content_4889078a4e2655ff,17,0.8130709284086001,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,74450.0,7.0,32.40124195375939,31,217
client_23a62021009f63c4,content_9d1e94cbd32b0a41,18,0.8115556917919814,high_risk_stale_visible,Review freshness and content relevance,High model score; still requires human review,81479.0,13.0,34.64412756690163,31,230
client_23a62021009f63c4,content_b875a2f306635a58,19,0.8114615319443407,high_risk_position,"Review search intent, relevance and ranking context",High model score; still requires human review,68657.0,5.0,31.53912076714421,31,84
client_23a62021009f63c4,content_49267c758cdcb3a8,20,0.803105415884391,high_risk_position,"Review search intent, relevance and ranking context",High model score; still requires human review,73768.0,12.0,32.65721639837749,31,75
